RUT,NOMBRE,CLASIFICACION
50059000-9,"PARDO GONZALEZ, ADELA DEL TRANSITO Y OTRO",OTRO MUNICIPAL
50106510-2,FUNDACION EDUCACIONAL THE INTERNATIONAL SCHOOL LA SERENA,OTRO MUNICIPAL
50648150-3,FUNDACION DE EDUCACION CRISTIANA BETHEL,OTRO MUNICIPAL
51003550-K,CENTRO DE EDUCACION POPULAR Y APOYO PSICOLOGICO CEPAS,OTRO MUNICIPAL
51049260-9,TORRES ZUNIGA JOVITA DEL TRANSITO Y OTRA,OTRO MUNICIPAL
51064970-2,FUND EDUCACIONAL SAN LUIS DE LA COMPANIA DE JESUS,OTRO MUNICIPAL
52000016-K,MARIA INES LEIGHTON SERVICIOS EDUCACIONALES E I R L,OTRO MUNICIPAL
52000108-5,MARTIN MATAMALA SERVICIOS DE ASEO E I R L,OTRO MUNICIPAL
52000184-0,REBOLLEDO BELLO SALUD MENTAL Y REHABILITACION PSICOSOCIAL SPA,OTRO MUNICIPAL
52000637-0,OSVALDO CARPINELLO SEGURIDAD Y TELECOMUNICACIONES E I R L,OTRO MUNICIPAL
52000841-1,SERVICIOS DE SEGURIDAD PRIVADA SPA,OTRO MUNICIPAL
52001032-7,MARTA SILVA BECERRA EDUCACIONAL EDUCLAT E I R L,OTRO MUNICIPAL
52001074-2,OBRA EDUCACIONAL TATIANA AVSOLOMOVICH E I R L,OTRO MUNICIPAL
52001178-1,ASEO Y MANTENCION CELERINO GOMEZ TORRES E I R L,OTRO MUNICIPAL
52001182-K,SERVICIOS EDUCACIONALES SANDRA VEGA PENAILILLO E.I.R.L.,OTRO MUNICIPAL
52001386-5,"EMPRESA CARLOS VARAS URZUA, SEGURIDAD INTEGRAL E.I.R.L.",OTRO MUNICIPAL
52001429-2,ROLANDO MORALES SALAS TRANSPORTES SERVICIOS Y SEGURIDAD E.I.R.L.,OTRO MUNICIPAL
52001432-2,EMPRESA DE RECURSOS HUMANOS EN MATERIAS INHERENTES A SEGURIDAD PRIVADA MANUEL LO,OTRO MUNICIPAL
52001447-0,SERVICIOS EDUCACIONALES MARCELA VIVIANA OLATE LEVET E I R L,OTRO MUNICIPAL
52001965-0,SOCIEDAD EDUCACIONAL CHC LIMITADA,OTRO MUNICIPAL
52002047-0,SEGURIDAD Y SERVICIOS RAB   SPA,OTRO MUNICIPAL
52002050-0,ESTABLECIMIENTO EDUCACIONAL SELMA ROXANA OLIVA HIDALGO E I R L,OTRO MUNICIPAL
52002415-8,SERVICIO DE SEGURIDAD EDUARDO MENA RETAMAL E I R L,OTRO MUNICIPAL
52002614-2,EMPRESA DE SEGURIDAD HUGO PASTEN E I R L,OTRO MUNICIPAL
52002791-2,JAVIER CURILEMO VELASQUEZ ORGANIZACION Y SEGURIDAD EIRL,OTRO MUNICIPAL
52002887-0,JUAN ISLAS PETERS ASEO Y SERVICIOS E I R L,OTRO MUNICIPAL
52003573-7,SERVICIOS PARA LA SALUD Y ESTETICA GUSTAVO EGUILUZ SCHROEDER EIRL,OTRO MUNICIPAL
52003594-K,CORRETAJE AGRICOLA SERV Y SEGURIDAD MARCELA HERRERA GUEVARA E I R L,OTRO MUNICIPAL
52003643-1,HOMERO ANDRES TAPIA PIZARRO SERVICIOS DE ASEO Y MANTENCION EIRL,OTRO MUNICIPAL
52003763-2,FIRST EST EMPRESA DE SERVICIOS TRANSITORIOS LIMITADA,OTRO MUNICIPAL
52003827-2,EMPRESA FORESTAL RAUL DEL TRANSITO VALDES ORELLANA EIRL,OTRO MUNICIPAL
52004114-1,SEGURIDAD PRIVADA IRMA DEL CARMEN LOYOLA URZUA E.I.R.L.,OTRO MUNICIPAL
52004303-9,SOCIEDAD EDUCACIONAL EMMANUEL HIGH SCHOOL LIMITADA,OTRO MUNICIPAL
52004589-9,"FETEC, SEGURIDAD INDUSTRIAL LIMITADA",OTRO MUNICIPAL
52004770-0,SERVICIOS EDUCACIONALES JOANNA ANGELINA AYALA FAJARDO E I R L,OTRO MUNICIPAL
52004924-K,COMERC EN SEGURIDAD INDUSTRCECILIA ANGELICA AGUILAR LIZAMA,OTRO MUNICIPAL
52005108-2,ISABEL TRANSITO VILA CORDEROTRANSPORTES E I R L,OTRO MUNICIPAL
52005315-8,SERVICIO DE SALUD MENTAL PATRICIA EUGENIA MARGULIS BUDNIK E.I.R.L.,OTRO MUNICIPAL
52005338-7,CENTRO EDUCACIONAL DE ADULTOS CESAR DUQUE CORROTEA E.I.R.L.,OTRO MUNICIPAL
53022510-0,SOCIEDAD EDUCACIONAL SAINT PAUL COLLEGE LIMITADA.,OTRO MUNICIPAL
53215000-0,SUC JOSE DEL TRANSITO LOPEZ VALLA  DARES,OTRO MUNICIPAL
53261800-2,SUC CARLOS DEL TRANSITO ZENTENO ZENTENO,OTRO MUNICIPAL
53281180-5,SUC RAMON DEL TRANSITO LEIVA TAUCANO,OTRO MUNICIPAL
53284100-3,FUND EDUCACIONAL SAN FRANCISCO JAVIER,OTRO MUNICIPAL
53298467-K,FUNDACION EDUCACIONAL COLEGIO SANTA MARTA-OSORNO,OTRO MUNICIPAL
53299424-1,SUCESION OSVALDO DEL TRANSITO VILLALON ROCO,OTRO MUNICIPAL
53299970-7,FUNDACION EDUCACIONAL MATER DEI,OTRO MUNICIPAL
53301330-9,FUNDACION EDUCACIONAL COMPANIA DE MARIA VINA DEL MAR,OTRO MUNICIPAL
53304876-5,SUCESION REINALDO DEL TRANSITO CASTRO ESCOBAR,OTRO MUNICIPAL
53304964-8,PASEO DON BELISARIO DOS,OTRO MUNICIPAL
53305414-5,CONDOMINIO EDIFICIO PASEO BULNES,OTRO MUNICIPAL
53305604-0,CORPORACION EDUCACIONAL ALQUIMIA,OTRO MUNICIPAL
53308637-3,CORREA MORI JULIO DEL TRANSITO Y OTROS,OTRO MUNICIPAL
53308916-K,SPAZIO DEPARTAMENTOS,OTRO MUNICIPAL
53310776-1,COMUNIDAD PASEO LO CASTILLO,OTRO MUNICIPAL
53311302-8,SUCESION CARLOS DEL TRANSITO HUERTA GODOY,OTRO MUNICIPAL
53312438-0,COMUNIDAD EDIFICIO PASEO POCURO,OTRO MUNICIPAL
53316235-5,ATENCION DE SALUD LA FAMILIA,OTRO MUNICIPAL
53316761-6,CEMENTERIO PARROQUIAL SAN MIQUEL ARCANGEL DE COLBUN,OTRO MUNICIPAL
53318147-3,LUIS DEL TRANSITO OPAZO FLORES Y OTRO,OTRO MUNICIPAL
53318274-7,CONDOMINIO PASEO SAN CARLOS,OTRO MUNICIPAL
53319416-8,SUCESION BRAVO IRRAZABAL JORGE DEL TRANSITO,OTRO MUNICIPAL
53319915-1,CENTRO DE EDUCACION Y TRABAJO FEMENINO SEMIABIERTO DE SANTIAGO,OTRO MUNICIPAL
53321294-8,SUCESION ALEJANDRO DELTRANSITO CARVAJAL BUGUENO,OTRO MUNICIPAL
53321414-2,SUCESION EDUARDO DEL TRANSITO BERRIOS BAZAEZ,OTRO MUNICIPAL
53322016-9,COMUNIDAD EDIFICIO PASEO RIO DE JANEIRO,OTRO MUNICIPAL
53322327-3,CENTRO DE EDUCACION Y TRABAJO DE CAUQUENES,OTRO MUNICIPAL
53322816-K,SUCESION ESTANISLAO DEL TRANSITO AVILES TAPIA,OTRO MUNICIPAL
53323497-6,CENTRO DE EDUCACION Y TRABAJO CERRADO DEL C.C.P. DE COLLIPULLI,OTRO MUNICIPAL
53324051-8,CORPORACION EDUCACIONAL EL PROGRESO,OTRO MUNICIPAL
53324189-1,CORPORACION EDUCACIONAL LORQUIANA,OTRO MUNICIPAL
53324720-2,LUNA NUEVA ENTIDAD INDIVIDUAL EDUCACIONAL,OTRO MUNICIPAL
53325048-3,CORPORACION EDUCACIONAL MARIA LUISA,OTRO MUNICIPAL
53325064-5,CORPORACION EDUCACIONAL RIGOBERTA MENCHU,OTRO MUNICIPAL
53325120-K,COORPORACION EDUCACIONAL RIMAY ARU,OTRO MUNICIPAL
53325325-3,CORPORACION EDUCACIONAL ROCKET ADULTOS,OTRO MUNICIPAL
53325405-5,JIMENA MARISOL SALAS SANTANA ENTIDAD INDIVIDUAL EDUCACIONAL,OTRO MUNICIPAL
53325552-3,PARQUE SANTA MARIA - DEPARTAMENTOS,OTRO MUNICIPAL
53325672-4,CORPORACION EDUCACIONAL LOGOS VINA DEL MAR,OTRO MUNICIPAL
53330275-0,CORPORACION EDUCACIONAL RG,OTRO MUNICIPAL
53330345-5,CORPORACION EDUCACIONAL MEL,OTRO MUNICIPAL
53330411-7,ESCUELA ESPECIAL DE TRASTORNOS DEL LENGUAJE HAMELIN CORPORACION EDUCACIONAL,OTRO MUNICIPAL
53330413-3,CORPORACION EDUCACIONAL WENUI,OTRO MUNICIPAL
53330482-6,ENTIDAD INDIVIDUAL EDUCACIONAL ALTIOR,OTRO MUNICIPAL
53332192-5,CEMENTERIO PARROQUIAL SAN IGNACIO DE EMPEDRADO,OTRO MUNICIPAL
53332382-0,CORPORACION GESTION Y RED EN EDUCACION Y CULTURA,OTRO MUNICIPAL
53332429-0,CONDOMINIO PASEO MIRADOR SAN CARLOS,OTRO MUNICIPAL
53333262-5,STRIP CENTER PASEO LA CRUZ,OTRO MUNICIPAL
53333648-5,FUNDACIÓN EDUCACIONAL LAS RASTRAS,OTRO MUNICIPAL
53333686-8,"FUNDACIÓN DE BENEFICIENCIA PÚBLICA, CIENTÍFICA Y EDUCACIONAL FUTURE OF FISH",OTRO MUNICIPAL
53333731-7,"FUNDACIÓN DE BENEFICENCIA PÚBLICA CULTURAL, CIENTÍFICA Y EDUCACIONAL 10X",OTRO MUNICIPAL
53333811-9,ALIANZA CHILENA DE CIBERSEGURIDAD,OTRO MUNICIPAL
53333861-5,"FUNDACIÓN DE BENEFICENCIA PÚBLICA, CIENTÍFICA Y EDUCACIONAL TRES HOJAS",OTRO MUNICIPAL
53333943-3,INSTITUTO DE ECONOMÍA GESTIÓN Y SALUD,OTRO MUNICIPAL
53333946-8,CORPORACIÓN EDUCACIONAL ENLACE LOS RÍOS,OTRO MUNICIPAL
53334353-8,ASOCIACIÓN CULTURAL Y EDUCACIONAL MAPOCHO,OTRO MUNICIPAL
53334387-2,CORPORACION EDUCACIONAL ANDALUE,OTRO MUNICIPAL
53334410-0,FUNDACIÓN EDUCACIONAL EDUGRANEROS,OTRO MUNICIPAL
53334464-K,FUNDACIÓN MÁS SALUD A LA CALLE,OTRO MUNICIPAL
53334902-1,FUNDACIÓN DE BENEFICENCIA PÚBLICA DEPORTIVA EDUCACIONAL CIENTÍFICA Y CULTURAL CR,OTRO MUNICIPAL
53335617-6,SUCESION SERGIO DEL TRANSITO LEIVA TAUCANO,OTRO MUNICIPAL
53335728-8,SECTOR DEPARTAMENTOS EDIFICIO ISIDORA 3000,OTRO MUNICIPAL
53336041-6,SUCESIÓN GERMAN DEL TRANSITO MOREL TIRADO,OTRO MUNICIPAL
53336415-2,CONDOMINIO PASEO DEL MAR,OTRO MUNICIPAL
56010680-7,COMUNIDAD EDIFICIO PASEO AHUMADA 165 - 179,OTRO MUNICIPAL
56016690-7,COMUNIDAD EDIFICIO PASEO TOBALABA,OTRO MUNICIPAL
56021900-8,COM EDIFICIO PASEO INDEPENDENCIA,OTRO MUNICIPAL
56023360-4,COMUNIDAD EDIFICIO PASEO CALETA ABA ABARCA,OTRO MUNICIPAL
